property_type,tenure,built_year,num_beds,num_baths,size_sqft,lat,lng,price
0,0,1992.0,3.0,2.0,1205,1.4023268,103.89577065,648900.0
2,0,2014.0,3.0,2.0,1399,1.29932595,103.83319668704708,4357500.0
1,0,2009.0,5.0,4.0,3090,1.3287735,103.80561531355102,4179000.0
2,1,2024.0,2.0,2.0,872,1.3306509,103.7670572,1648500.0
2,0,2022.0,3.0,3.0,1119,1.3271094,103.7964042,2940300.0
2,0,2021.0,1.0,1.0,517,1.3659704499999998,103.87028671064984,965000.0
1,0,2000.0,3.0,3.0,1313,1.35112195,103.69668831773896,1260000.0
0,0,1992.0,4.0,2.0,1356,1.395536,103.8876106,813800.0
0,0,1992.0,4.0,2.0,1399,1.3870021,103.76340787293424,787500.0
0,0,2017.0,3.0,2.0,1001,1.30889935,103.7836396897501,932400.0
0,0,1975.0,3.0,2.0,1290,1.30481515,103.91860152876517,819000.0
2,0,2010.0,5.0,5.0,6000,1.2481118,103.8406065,22890000.0
0,0,1981.0,3.0,2.0,1109,1.33169695,103.85783953777464,651000.0
2,2,2022.0,3.0,3.0,1249,1.3157947,103.8320962933791,3779000.0
0,0,2010.0,3.0,2.0,1011,1.39160995,103.88052844816504,672000.0
2,0,2018.0,3.0,3.0,915,1.3521534,103.92794202848162,1260000.0
1,0,2016.0,3.0,2.0,1324,1.3321733999999998,103.72419457835264,1428000.0
2,0,2017.0,2.0,1.0,797,1.319516,103.88097373944026,1281000.0
0,0,1992.0,2.0,2.0,786,1.3760309,103.7710916,399000.0
1,0,2014.0,2.0,2.0,829,1.39763685,103.9176573728072,1047900.0
1,1,1977.0,4.0,7.0,5990,1.3804543,103.9458545,6384000.0
2,0,2024.0,3.0,2.0,958,1.33869315,103.87174954613296,1998200.0
2,2,2025.0,4.0,5.0,2368,1.3101838,103.8359137,6195000.0
2,0,2023.0,2.0,1.0,657,1.304855,103.77377633404797,1633800.0
0,0,1988.0,3.0,2.0,1108,1.4292403,103.849496,491400.0
2,0,2025.0,5.0,4.0,1690,1.3080119,103.76731822674004,3059700.0
0,0,1992.0,4.0,2.0,1538,1.3840211,103.7463549865398,770700.0
1,2,2005.0,5.0,6.0,5324,1.3544038,103.8653864,5985000.0
0,0,1992.0,3.0,2.0,1065,1.34931315,103.7573411219289,546000.0
1,2,1970.0,5.0,3.0,3400,1.30640765,103.93278955123664,6825000.0
1,0,2016.0,3.0,2.0,1087,1.3321733999999998,103.72419457835264,1554000.0
0,0,2017.0,3.0,2.0,1001,1.30835505,103.7852237239124,924000.0
2,0,2026.0,3.0,3.0,1302,1.3707978,103.9469571,2310000.0
0,0,2010.0,3.0,2.0,1001,1.3983307,103.8790664,609000.0
0,0,1985.0,3.0,2.0,689,1.3510536,103.9338367,409500.0
1,0,2017.0,5.0,4.0,1690,1.39704825,103.89393329199906,2612400.0
0,0,1988.0,3.0,3.0,1658,1.436395,103.8384005,869400.0
2,0,2023.0,2.0,2.0,689,1.3124025,103.84117158557598,1785000.0
0,0,1980.0,2.0,2.0,882,1.37127495,103.8591842845461,441000.0
1,2,2011.0,5.0,4.0,5000,1.3186848,103.843503,7014000.0
0,0,1978.0,3.0,3.0,1582,1.32321315,103.77108632181287,1134000.0
0,0,1992.0,3.0,2.0,1194,1.3964192,103.7511057,596400.0
0,0,1975.0,2.0,2.0,700,1.31208845,103.89717015311447,399000.0
1,2,1978.0,5.0,6.0,2750,1.3614485,103.8562891,7140000.0
2,0,2023.0,1.0,1.0,560,1.3027702,103.8694351,1680000.0
2,2,2022.0,3.0,2.0,947,1.3572912,103.7615246,1773300.0
2,2,2024.0,5.0,4.0,2142,1.3005809,103.89939364290174,5953500.0
0,0,1975.0,3.0,2.0,989,1.31370335,103.89606731775888,607800.0
2,2,2025.0,1.0,1.0,527,1.29410615,103.83673469533848,1811200.0
2,2,2022.0,1.0,1.0,484,1.31735885,103.83802909608715,1344000.0
0,0,1988.0,2.0,2.0,721,1.4175065,103.832324539314,512400.0
2,1,2024.0,2.0,2.0,700,1.3306509,103.7670572,1362900.0
2,2,2024.0,3.0,2.0,1152,1.3260123,103.8500626,2625000.0
0,0,1992.0,3.0,2.0,1216,1.39187155,103.88461607816028,682500.0
0,0,1992.0,3.0,2.0,1119,1.37747295,103.8912765,577500.0
2,2,2024.0,5.0,4.0,2142,1.3005809,103.89939364290174,5477800.0
0,0,1992.0,3.0,2.0,1001,1.40592365,103.91041867615932,699300.0
2,0,2022.0,1.0,1.0,474,1.3271094,103.7964042,1360100.0
2,0,2020.0,3.0,3.0,1066,1.35516795,103.92965066839812,1510900.0
1,2,1988.0,5.0,5.0,2600,1.37138015,103.83259607458244,5964000.0
2,0,2022.0,3.0,3.0,1119,1.3271094,103.7964042,2831800.0
0,0,1988.0,3.0,2.0,1001,1.44476015,103.8318793851922,656200.0
2,0,2023.0,5.0,5.0,1819,1.3124025,103.84117158557598,4519200.0
1,0,2017.0,4.0,3.0,1153,1.3523793,103.6967058924398,1048800.0
2,2,2023.0,3.0,3.0,1152,14.4848138,121.0232316,2292200.0
2,2,2025.0,1.0,1.0,2056,1.29410615,103.83673469533848,6603300.0
0,0,1992.0,2.0,2.0,785,1.35025705,103.75665734562726,420000.0
1,2,2009.0,5.0,6.0,5000,1.3342095,103.8065763,9429000.0
0,0,1985.0,3.0,2.0,1302,1.34805165,103.95559016408129,630000.0
2,0,2016.0,6.0,7.0,7432,1.2411094,103.83616118799549,16800000.0
2,2,2024.0,3.0,4.0,1399,1.2963944,103.89101386970906,3913200.0
2,0,2024.0,4.0,4.0,1410,1.3454601,103.76950094423792,2752300.0
2,2,2016.0,3.0,2.0,1184,1.2985638,103.88440785352569,3066000.0
0,0,1992.0,4.0,3.0,1636,1.3923914,103.7443826,798000.0
2,0,2008.0,1.0,1.0,689,1.28099045,103.85274051881804,1491000.0
0,0,1992.0,3.0,2.0,990,1.3577742499999998,103.8707064,577500.0
0,0,1988.0,3.0,2.0,1119,1.4209385,103.8361094498475,522900.0
2,2,2025.0,3.0,2.0,1227,1.31730585,103.83260746060152,3570000.0
2,0,2023.0,2.0,2.0,646,1.36679605,103.8865753660334,1291500.0
2,2,2008.0,1.0,1.0,592,1.30406545,103.84891443109451,1365000.0
0,0,2000.0,2.0,2.0,732,1.3275507,103.92353911934822,577500.0
2,2,2024.0,2.0,2.0,689,1.2963944,103.89101386970906,2119300.0
0,0,1998.0,2.0,2.0,721,1.3399244,103.74071666615536,420000.0
2,2,2016.0,3.0,2.0,1378,1.2985638,103.88440785352569,3849300.0
0,0,2010.0,3.0,2.0,1011,1.3910774,103.88088316042156,603800.0
0,0,2000.0,3.0,2.0,904,1.3348851000000002,103.91173421423876,493500.0
2,0,2025.0,3.0,2.0,1141,1.28617715,103.83955002171584,2730000.0
2,2,2007.0,6.0,4.0,4000,1.3562233,103.8322278,12810000.0
1,0,2023.0,4.0,3.0,1152,1.4472921,103.82838332163992,1260000.0
1,0,2026.0,4.0,3.0,1399,1.4446778,103.8311689,1764000.0
2,2,2025.0,2.0,2.0,807,1.29410615,103.83673469533848,2787800.0
2,0,2023.0,3.0,2.0,1141,1.3027702,103.8694351,3360000.0
2,2,2025.0,4.0,3.0,1227,1.3131859,103.8996932,2605300.0
2,0,2014.0,1.0,1.0,560,1.3004468,103.8459093811848,1365000.0
0,0,1992.0,3.0,2.0,914,1.38122065,103.8801741,519800.0
2,1,2013.0,6.0,9.0,4352,1.3870489,103.872999,9166500.0
2,2,2023.0,2.0,2.0,667,1.3159611,103.836848,2047500.0
2,0,2023.0,3.0,2.0,1249,1.3027702,103.8694351,3780000.0
2,0,2026.0,3.0,3.0,1000,1.3859375,103.8344656879244,2415000.0
0,0,2000.0,3.0,2.0,1238,1.3359523,103.9389362608958,774900.0
2,0,1998.0,3.0,3.0,1206,1.2980308,103.76637790361508,1701000.0
2,0,2026.0,3.0,2.0,1066,1.3707978,103.9469571,1942500.0
2,0,2016.0,1.0,1.0,517,1.3648386499999998,103.7641701502389,819000.0
0,0,1988.0,3.0,2.0,1119,1.4180438,103.8405602,525000.0
2,1,1985.0,7.0,6.0,11560,1.3376913,103.7860849,15624000.0
2,0,2016.0,2.0,2.0,764,1.44310135,103.82466174239444,945000.0
2,0,2026.0,3.0,2.0,1044,1.3859375,103.8344656879244,2192400.0
1,0,2014.0,4.0,3.0,1876,1.3501789,103.9284450931913,2100000.0
2,2,2015.0,2.0,2.0,818,1.32956515,103.86824104469466,1575000.0
1,2,1998.0,4.0,3.0,1617,1.3721314,103.8287,3675000.0
2,2,2023.0,1.0,1.0,495,1.3087662,103.8090654,1527800.0
2,2,2024.0,3.0,2.0,872,1.3307095,103.8683907,2568300.0
2,0,2024.0,4.0,3.0,1281,1.33869315,103.87174954613296,3081800.0
2,0,2023.0,1.0,1.0,527,1.304855,103.77377633404797,1260000.0
0,0,1996.0,4.0,3.0,1571,1.3257831,103.90975001517054,976500.0
2,0,2022.0,2.0,2.0,689,1.2915204500000002,103.80511320990595,1974000.0
2,0,2020.0,2.0,2.0,926,1.34556315,103.72430663878671,1470000.0
2,0,2023.0,4.0,4.0,1464,1.3171376,103.75970123067364,2929500.0
0,0,1992.0,3.0,2.0,1184,1.3984349,103.907281,577500.0
2,0,2026.0,2.0,1.0,678,1.44002835,103.82774103667388,1080400.0
2,2,2026.0,2.0,2.0,710,1.3159484,103.8575892,1502600.0
0,0,1995.0,3.0,2.0,1033,1.2931142000000002,103.81139312358758,945000.0
0,0,1988.0,3.0,2.0,1216,1.4479183,103.8313757728877,771800.0
2,0,2024.0,4.0,4.0,1581,1.29988105,103.88811428633838,3853500.0
1,0,2025.0,4.0,3.0,1206,1.3568431,103.9304835395196,1470000.0
0,0,1981.0,3.0,2.0,1000,1.3249096,103.85559309602272,827400.0
1,0,2026.0,3.0,3.0,1044,1.4446778,103.8311689,1202200.0
2,0,2024.0,3.0,2.0,958,1.3660231,103.77507192428756,1607100.0
2,2,2024.0,1.0,1.0,484,1.2963944,103.89101386970906,1485100.0
2,0,2026.0,2.0,1.0,710,1.3707978,103.9469571,1470000.0
2,0,2016.0,2.0,2.0,1119,1.2908896,103.83745798944445,2814000.0
0,0,1998.0,3.0,2.0,1119,1.34352555,103.69619334465212,513300.0
0,0,1992.0,3.0,2.0,1001,1.3739713999999998,103.74261706500718,588000.0
2,0,2023.0,4.0,4.0,1496,1.304855,103.77377633404797,3045000.0
2,2,2009.0,2.0,2.0,850,1.30646595,103.84754111158836,1575000.0
1,0,2022.0,6.0,6.0,5748,1.36703,103.88996647282468,4615800.0
2,0,1997.0,6.0,6.0,5580,1.325923,103.7961083,14910000.0
0,0,1992.0,3.0,2.0,990,1.3752048499999998,103.88237156026992,699300.0
0,0,1992.0,3.0,2.0,1023,1.3958683,103.91531983818668,598500.0
2,1,2011.0,6.0,8.0,9000,1.3417329,103.7881476,54600000.0
1,0,2016.0,4.0,2.0,1249,1.432231,103.79930106701984,1449000.0
2,2,2021.0,3.0,3.0,1227,1.3455515,103.8815143,2696200.0
2,0,2010.0,3.0,3.0,2723,1.2433584,103.8374519,10269000.0
2,0,2022.0,1.0,1.0,474,1.3271094,103.7964042,1360100.0
2,0,2026.0,3.0,2.0,947,1.3404645,103.88373309629344,1890000.0
0,0,2017.0,3.0,2.0,1001,1.3095995,103.78404524621212,1016400.0
2,0,2023.0,4.0,4.0,1399,1.28301625,103.83988698554164,3953200.0
2,0,2025.0,5.0,5.0,3454,1.3116278,103.79388546155636,12821900.0
1,2,1981.0,3.0,3.0,2000,1.3540412,103.8436266,4200000.0
0,0,1992.0,3.0,2.0,904,1.37241715,103.8876040216907,513300.0
1,2,1989.0,4.0,3.0,2800,1.32447465,103.95398884766334,6699000.0
0,0,1978.0,3.0,2.0,1183,1.31138395,103.76718230321153,966000.0
0,0,1998.0,3.0,2.0,1184,1.3480872,103.70749848025282,735000.0
2,0,2026.0,4.0,4.0,1378,1.3113226999999998,103.85247580094573,2884400.0
2,2,2009.0,2.0,3.0,1001,1.3143868,103.8445323,1837500.0
2,0,2024.0,3.0,2.0,969,1.4417104,103.82765897017129,1470000.0
1,2,1970.0,6.0,7.0,8000,1.30640765,103.93278955123664,6279000.0
2,0,2026.0,4.0,4.0,1959,1.2915415,103.84517442690934,5821200.0
0,0,1992.0,3.0,2.0,904,1.37241715,103.8876040216907,513300.0
2,0,2026.0,2.0,2.0,829,1.29142015,103.84426811480154,2337300.0
2,2,2025.0,1.0,1.0,527,1.29410615,103.83673469533848,1739800.0
2,0,2024.0,2.0,1.0,721,1.375344,103.7587454,1118200.0
1,0,2016.0,4.0,2.0,1195,1.4009397,103.89726215543872,1554000.0
0,0,1988.0,3.0,2.0,1076,1.4471134,103.8205092,630100.0
0,0,1992.0,3.0,2.0,1109,1.3743862,103.8829037,480900.0
2,2,2023.0,3.0,3.0,1163,1.3159611,103.836848,3381000.0
1,2,1976.0,3.0,4.0,5800,1.3903539,103.860559,9333300.0
2,0,2010.0,6.0,6.0,11600,1.2481118,103.8406065,26827500.0
0,0,2000.0,3.0,2.0,1227,1.3253011,103.9232041,732900.0
0,0,1985.0,3.0,2.0,1119,1.3550445,103.93650194878953,582800.0
2,0,2013.0,3.0,3.0,1604,1.2802667,103.85227306856048,3150000.0
0,0,1995.0,3.0,2.0,1313,1.2877094,103.81218665932803,840000.0
2,0,2014.0,3.0,3.0,1173,1.37035665,103.8485357761894,2507400.0
2,2,2023.0,4.0,4.0,1496,1.3123637,103.80327091227252,4711400.0
0,0,1998.0,2.0,2.0,731,1.3201249,103.73985825933735,367500.0
1,1,2010.0,5.0,7.0,5500,1.3602446499999998,103.86511076372146,7140000.0
2,2,2014.0,4.0,4.0,2842,1.3088303,103.83013049275884,16054500.0
2,0,2018.0,4.0,4.0,1496,1.30120955,103.8470858524024,3255000.0
2,0,2010.0,1.0,1.0,635,1.27421825,103.84600550482058,1353300.0
2,0,2024.0,3.0,2.0,1302,1.29988105,103.88811428633838,2625000.0
2,0,2002.0,3.0,3.0,1227,1.3375473,103.93415307748012,1751400.0
2,0,2021.0,4.0,3.0,1238,1.35110615,103.87682598525656,2835000.0
1,1,2011.0,5.0,4.0,3500,1.3650701,103.8850664,7140000.0
0,0,1981.0,2.0,2.0,818,1.3423271,103.84650107946786,428400.0
2,0,2023.0,2.0,1.0,689,1.30010805,103.84667445597408,1862700.0
2,2,2025.0,2.0,2.0,786,1.31730585,103.83260746060152,2372000.0
0,0,1992.0,4.0,2.0,1313,1.37979675,103.74819670575044,583300.0
2,0,2023.0,2.0,1.0,700,1.28301625,103.83988698554164,2052800.0
0,0,2004.0,3.0,2.0,1087,1.4374566,103.7930017,510300.0
0,0,1992.0,4.0,3.0,1291,1.3997063,103.88879840590312,735000.0
0,0,1980.0,3.0,2.0,1109,1.34388045,103.85508673340044,714000.0
1,2,1999.0,5.0,6.0,5678,1.3247753,103.9173427,7140000.0
2,0,2023.0,4.0,4.0,1496,1.3171376,103.75970123067364,2835000.0
2,2,2016.0,3.0,2.0,850,1.3157213,103.84160862206242,1890000.0
2,2,2022.0,2.0,1.0,700,1.3443339,103.8786904,1637000.0
2,2,2021.0,4.0,4.0,1475,1.330403,103.7949393,4329000.0
2,2,1990.0,5.0,5.0,7200,1.3197144,103.8299065,24150000.0
2,0,2025.0,1.0,1.0,484,1.29636395,103.857202171856,1594700.0
0,0,1996.0,3.0,2.0,915,1.32095,103.9011000997701,840000.0
0,0,1980.0,2.0,2.0,731,1.3720323,103.85760484542894,420000.0
2,2,2022.0,1.0,1.0,710,1.31735885,103.83802909608715,1837500.0
0,0,1992.0,2.0,2.0,689,1.3768779,103.8934395,399000.0
0,0,1980.0,3.0,3.0,1603,1.3564943,103.84806592328592,1260000.0
1,0,1975.0,4.0,4.0,3200,1.3131859,103.8996932,5124000.0
0,0,1996.0,3.0,3.0,1571,1.327212,103.90385838129563,1575000.0
2,0,2025.0,4.0,3.0,2637,1.26522915,103.81751884226044,5591200.0
